PVI;Station;Easting;Northing;elev_exist;elev_des;elev_dif;d_northAxe
0;34500;181359.74200000000;654449.12710000000;38.18900000000;7.34500000000;30.84500000000;-13.49965810210
1;34510;181369.71540000000;654449.85590000000;37.69300000000;7.46500000000;30.22800000000;-13.49831771180
2;34520;181379.69210000000;654450.53790000000;37.20100000000;7.58500000000;29.61600000000;-13.49493417470
3;34530;181389.67460000000;654451.12890000000;36.97700000000;7.70500000000;29.27200000000;-13.49298729660
4;34540;181399.66410000000;654451.58560000000;37.07500000000;7.82500000000;29.25000000000;-13.42644063390
5;34550;181409.65940000000;654451.88770000000;37.29100000000;7.94500000000;29.34700000000;-13.42590636420
6;34560;181419.65820000000;654452.03430000000;37.53400000000;8.06500000000;29.46900000000;-13.44377210530
7;34570;181429.65810000000;654452.02550000000;37.86800000000;8.18500000000;29.68400000000;-13.41417055810
8;34580;181439.65670000000;654451.86120000000;38.16000000000;8.30500000000;29.85500000000;-13.46656960950
9;34590;181449.65150000000;654451.54150000000;38.45600000000;8.42500000000;30.03100000000;-13.40790805530
10;34600;181459.64010000000;654451.06650000000;38.49400000000;8.54500000000;29.94900000000;-13.49480066040
11;34610;181469.62010000000;654450.43620000000;38.73900000000;8.66500000000;30.07400000000;-13.40709075330
12;34620;181479.58910000000;654449.65090000000;39.03600000000;8.78500000000;30.25200000000;-13.47477060180
13;34630;181489.54470000000;654448.71070000000;39.48800000000;8.90500000000;30.58300000000;-13.41168563450
14;34640;181499.48450000000;654447.61590000000;39.87300000000;9.02500000000;30.84900000000;-13.45023872330
15;34650;181509.40610000000;654446.36660000000;40.04600000000;9.14500000000;30.90100000000;-13.42175078000
16;34660;181519.30700000000;654444.96330000000;40.20700000000;9.26500000000;30.94300000000;-13.43124546010
17;34670;181529.18490000000;654443.40630000000;40.40600000000;9.38500000000;31.02100000000;-13.43718110830
18;34680;181539.03750000000;654441.69580000000;40.53800000000;9.50500000000;31.03400000000;-13.41764721710
19;34690;181548.86220000000;654439.83240000000;40.66300000000;9.62500000000;31.03800000000;-13.45820215660
20;34700;181558.65680000000;654437.81660000000;40.84200000000;9.74500000000;31.09700000000;-13.40942641020
