PVI;Station;Easting;Northing;elev_exist;elev_des;elev_diff;d_eastAxe
0;25000;179229.46000000000;660753.24530000000;18.27700000000;-11.84800000000;30.12500000000;-13.50003907900
1;25010;179220.57980000000;660748.64720000000;18.27700000000;-11.74800000000;30.02500000000;-13.49996041320
2;25020;179211.69960000000;660744.04920000000;18.14700000000;-11.64800000000;29.79500000000;-13.49997054950
3;25030;179202.81930000000;660739.45120000000;17.94600000000;-11.54800000000;29.49400000000;-13.50002666610
4;25040;179193.93910000000;660734.85320000000;17.89900000000;-11.44800000000;29.34700000000;-13.50003680250
5;25050;179185.05890000000;660730.25520000000;17.85300000000;-11.34800000000;29.20100000000;-13.50004693880
6;25060;179176.17870000000;660725.65710000000;17.53200000000;-11.24800000000;28.78000000000;-13.49996827290
7;25070;179167.29850000000;660721.05910000000;17.50200000000;-11.14800000000;28.65000000000;-13.49997840920
8;25080;179158.41830000000;660716.46110000000;17.45900000000;-11.04800000000;28.50700000000;-13.49998854560
9;25090;179149.53810000000;660711.86310000000;17.52600000000;-10.94800000000;28.47400000000;-13.49999868200
10;25100;179140.65780000000;660707.26510000000;17.52500000000;-10.84800000000;28.37300000000;-13.50005479850
11;25110;179131.77760000000;660702.66700000000;17.53100000000;-10.74800000000;28.27900000000;-13.49997613270
12;25120;179122.89740000000;660698.06900000000;18.17900000000;-10.65700000000;28.83600000000;-13.49998626900
13;25130;179114.01720000000;660693.47100000000;19.03800000000;-10.58600000000;29.62400000000;-13.49999640550
14;25140;179105.13700000000;660688.87300000000;19.52100000000;-10.53600000000;30.05700000000;-13.50000654180
15;25150;179096.25680000000;660684.27500000000;20.20500000000;-10.50500000000;30.71000000000;-13.50001667810
16;25160;179087.37650000000;660679.67690000000;20.72000000000;-10.49400000000;31.21400000000;-13.49998399240
17;25170;179078.49630000000;660675.07890000000;21.06300000000;-10.49400000000;31.55700000000;-13.49999412880
18;25180;179069.61610000000;660670.48090000000;21.27600000000;-10.49400000000;31.77000000000;-13.50000426520
19;25190;179060.73590000000;660665.88290000000;21.48700000000;-10.49400000000;31.98100000000;-13.50001440150
20;25200;179051.85570000000;660661.28490000000;21.63100000000;-10.49400000000;32.12500000000;-13.50002453770
21;25210;179042.97550000000;660656.68680000000;21.73900000000;-10.49400000000;32.23300000000;-13.49994587200
22;25220;179034.09530000000;660652.08880000000;21.26900000000;-10.49400000000;31.76300000000;-13.49995600840
23;25230;179025.21500000000;660647.49080000000;19.87800000000;-10.49400000000;30.37200000000;-13.50001212500
24;25240;179016.33480000000;660642.89280000000;18.65500000000;-10.49400000000;29.14900000000;-13.50002226130
25;25250;179007.45460000000;660638.29480000000;18.51700000000;-10.49400000000;29.01100000000;-13.50003239770
26;25260;178998.57440000000;660633.69680000000;18.43100000000;-10.49400000000;28.92500000000;-13.50004253410
27;25270;178989.69420000000;660629.09870000000;18.48600000000;-10.49400000000;28.98000000000;-13.49996386810
28;25280;178980.81400000000;660624.50070000000;18.59500000000;-10.49400000000;29.08900000000;-13.49997400440
29;25290;178971.93380000000;660619.90270000000;18.67900000000;-10.49400000000;29.17300000000;-13.49998414090
30;25300;178963.05350000000;660615.30470000000;18.63100000000;-10.49400000000;29.12500000000;-13.50004025740
31;25310;178954.17330000000;660610.70670000000;18.58300000000;-10.49400000000;29.07700000000;-13.50005039370
32;25320;178945.29310000000;660606.10860000000;18.53500000000;-10.49400000000;29.02900000000;-13.49997172790
33;25330;178936.41290000000;660601.51060000000;18.50600000000;-10.49400000000;29.00000000000;-13.49998186420
34;25340;178927.53270000000;660596.91260000000;18.49300000000;-10.49400000000;28.98700000000;-13.49999200060
35;25350;178918.65250000000;660592.31460000000;18.13300000000;-10.49400000000;28.62700000000;-13.50000213700
36;25360;178909.77220000000;660587.71660000000;18.11400000000;-10.49400000000;28.60800000000;-13.50005825340
37;25370;178900.89200000000;660583.11850000000;17.69800000000;-10.49400000000;28.19200000000;-13.49997958760
38;25380;178892.01180000000;660578.52050000000;17.36500000000;-10.49400000000;27.85900000000;-13.49998972400
39;25390;178883.13160000000;660573.92250000000;17.46600000000;-10.49600000000;27.96200000000;-13.49999986030
40;25400;178874.25140000000;660569.32450000000;17.53300000000;-10.52400000000;28.05700000000;-13.50000999670
41;25410;178865.37120000000;660564.72650000000;17.57800000000;-10.58700000000;28.16600000000;-13.50002013300
42;25420;178856.49100000000;660560.12840000000;17.60300000000;-10.68500000000;28.28800000000;-13.49994146720
43;25430;178847.61070000000;660555.53040000000;17.67500000000;-10.81700000000;28.49200000000;-13.49999758380
44;25440;178838.73050000000;660550.93240000000;17.64300000000;-10.98100000000;28.62400000000;-13.50000772020
45;25450;178829.85030000000;660546.33440000000;17.65200000000;-11.15100000000;28.80300000000;-13.50001785650
46;25460;178820.97010000000;660541.73640000000;17.62800000000;-11.32100000000;28.94900000000;-13.50002799280
47;25470;178812.08990000000;660537.13830000000;17.73500000000;-11.49100000000;29.22600000000;-13.49994932700
48;25480;178803.20970000000;660532.54030000000;17.99600000000;-11.66100000000;29.65700000000;-13.49995946330
49;25490;178794.32950000000;660527.94230000000;18.14900000000;-11.83100000000;29.97900000000;-13.49996959970
50;25500;178785.44920000000;660523.34430000000;17.80700000000;-12.00100000000;29.80700000000;-13.50002571630
51;25510;178776.56900000000;660518.74630000000;17.55900000000;-12.17100000000;29.73000000000;-13.50003585260
52;25520;178767.68880000000;660514.14830000000;17.38600000000;-12.34100000000;29.72700000000;-13.50004598880
53;25530;178758.80860000000;660509.55020000000;17.37600000000;-12.51100000000;29.88700000000;-13.49996732310
54;25540;178749.92840000000;660504.95220000000;17.55300000000;-12.68100000000;30.23400000000;-13.49997745940
55;25550;178741.04820000000;660500.35420000000;16.99300000000;-12.85100000000;29.84400000000;-13.49998759580
56;25560;178732.17050000000;660495.75130000000;17.03100000000;-13.02100000000;30.05200000000;-13.50129903360
57;25570;178723.31560000000;660491.10470000000;17.08100000000;-13.19100000000;30.27200000000;-13.50606212630
58;25580;178714.51240000000;660486.36110000000;17.00800000000;-13.36100000000;30.36900000000;-13.51278526530
59;25590;178705.79150000000;660481.46810000000;17.17200000000;-13.53100000000;30.70300000000;-13.51487059880
60;25600;178697.18580000000;660476.37520000000;17.32900000000;-13.70100000000;31.03000000000;-13.53689009430
